Date,Time,Location
14/3/2022,0:00:00,Cilandak Timur
14/3/2022,1:00:00,Cilandak Timur
14/3/2022,2:00:00,Cilandak Timur
14/3/2022,3:00:00,Cilandak Timur
14/3/2022,4:00:00,Cilandak Timur
14/3/2022,5:00:00,Cilandak Timur
14/3/2022,6:00:00,Cilandak Timur
14/3/2022,7:00:00,Cilandak Timur
14/3/2022,8:00:00,Pejaten Timur
14/3/2022,9:00:00,Pejaten Timur
14/3/2022,10:00:00,Pejaten Timur
14/3/2022,11:00:00,Pejaten Timur
14/3/2022,12:00:00,Pejaten Timur
14/3/2022,13:00:00,Pejaten Timur
14/3/2022,14:00:00,Pejaten Timur
14/3/2022,15:00:00,Pejaten Timur
14/3/2022,16:00:00,Pejaten Timur
14/3/2022,17:00:00,Cilandak Timur
14/3/2022,18:00:00,Cilandak Timur
14/3/2022,19:00:00,Cilandak Timur
14/3/2022,20:00:00,Cilandak Timur
14/3/2022,21:00:00,Cilandak Timur
14/3/2022,22:00:00,Cilandak Timur
14/3/2022,23:00:00,Cilandak Timur
15/3/2022,0:00:00,Cilandak Timur
15/3/2022,1:00:00,Cilandak Timur
15/3/2022,2:00:00,Cilandak Timur
15/3/2022,3:00:00,Cilandak Timur
15/3/2022,4:00:00,Cilandak Timur
15/3/2022,5:00:00,Cilandak Timur
15/3/2022,6:00:00,Cilandak Timur
15/3/2022,7:00:00,Cilandak Timur
15/3/2022,8:00:00,Cinere
15/3/2022,9:00:00,Cinere
15/3/2022,10:00:00,Cinere
15/3/2022,11:00:00,Cinere
15/3/2022,12:00:00,Cinere
15/3/2022,13:00:00,Cinere
15/3/2022,14:00:00,Limo
15/3/2022,15:00:00,Limo
15/3/2022,16:00:00,Limo
15/3/2022,17:00:00,Rangkapan Jaya
15/3/2022,18:00:00,Rangkapan Jaya
15/3/2022,19:00:00,Rangkapan Jaya
15/3/2022,20:00:00,Rangkapan Jaya
15/3/2022,21:00:00,Cilandak Timur
15/3/2022,22:00:00,Cilandak Timur
15/3/2022,23:00:00,Cilandak Timur
16/3/2022,0:00:00,Cilandak Timur
16/3/2022,1:00:00,Cilandak Timur
16/3/2022,2:00:00,Cilandak Timur
16/3/2022,3:00:00,Cilandak Timur
16/3/2022,4:00:00,Cilandak Timur
16/3/2022,5:00:00,Cilandak Timur
16/3/2022,6:00:00,Cilandak Timur
16/3/2022,7:00:00,Cilandak Timur
16/3/2022,8:00:00,Pejaten Timur
16/3/2022,9:00:00,Pejaten Timur
16/3/2022,10:00:00,Pejaten Timur
16/3/2022,11:00:00,Pejaten Timur
16/3/2022,12:00:00,Pejaten Timur
16/3/2022,13:00:00,Pejaten Timur
16/3/2022,14:00:00,Ciganjur
16/3/2022,15:00:00,Ciganjur
16/3/2022,16:00:00,Ciganjur
16/3/2022,17:00:00,Ciganjur
16/3/2022,18:00:00,Ciganjur
16/3/2022,19:00:00,Ciganjur
16/3/2022,20:00:00,Cilandak Timur
16/3/2022,21:00:00,Cilandak Timur
16/3/2022,22:00:00,Cilandak Timur
16/3/2022,23:00:00,Cilandak Timur
17/3/2022,0:00:00,Cilandak Timur
17/3/2022,1:00:00,Cilandak Timur
17/3/2022,2:00:00,Cilandak Timur
17/3/2022,3:00:00,Cilandak Timur
17/3/2022,4:00:00,Cilandak Timur
17/3/2022,5:00:00,Cilandak Timur
17/3/2022,6:00:00,Cilandak Timur
17/3/2022,7:00:00,Rangkapan Jaya
17/3/2022,8:00:00,Rangkapan Jaya
17/3/2022,9:00:00,Rangkapan Jaya
17/3/2022,10:00:00,Rangkapan Jaya
17/3/2022,11:00:00,Rangkapan Jaya
17/3/2022,12:00:00,Rangkapan Jaya
17/3/2022,13:00:00,Rangkapan Jaya
17/3/2022,14:00:00,Rangkapan Jaya
17/3/2022,15:00:00,Rangkapan Jaya
17/3/2022,16:00:00,Rangkapan Jaya
17/3/2022,17:00:00,Rangkapan Jaya
17/3/2022,18:00:00,Cinere
17/3/2022,19:00:00,Cinere
17/3/2022,20:00:00,Cinere
17/3/2022,21:00:00,Cinere
17/3/2022,22:00:00,Cinere
17/3/2022,23:00:00,Cinere
18/3/2022,0:00:00,Cilandak Timur
18/3/2022,1:00:00,Cilandak Timur
18/3/2022,2:00:00,Cilandak Timur
18/3/2022,3:00:00,Cilandak Timur
18/3/2022,4:00:00,Cilandak Timur
18/3/2022,5:00:00,Cilandak Timur
18/3/2022,6:00:00,Cilandak Timur
18/3/2022,7:00:00,Cilandak Timur
18/3/2022,8:00:00,Cilandak Timur
18/3/2022,9:00:00,Pejaten Timur
18/3/2022,10:00:00,Pejaten Timur
18/3/2022,11:00:00,Pejaten Timur
18/3/2022,12:00:00,Pejaten Timur
18/3/2022,13:00:00,Pejaten Timur
18/3/2022,14:00:00,Pejaten Timur
18/3/2022,15:00:00,Pejaten Timur
18/3/2022,16:00:00,Pejaten Timur
18/3/2022,17:00:00,Rangkapan Jaya
18/3/2022,18:00:00,Rangkapan Jaya
18/3/2022,19:00:00,Rangkapan Jaya
18/3/2022,20:00:00,Rangkapan Jaya
18/3/2022,21:00:00,Rangkapan Jaya
18/3/2022,22:00:00,Rangkapan Jaya
18/3/2022,23:00:00,Rangkapan Jaya
19/3/2022,0:00:00,Rangkapan Jaya
19/3/2022,1:00:00,Rangkapan Jaya
19/3/2022,2:00:00,Rangkapan Jaya
19/3/2022,3:00:00,Rangkapan Jaya
19/3/2022,4:00:00,Rangkapan Jaya
19/3/2022,5:00:00,Rangkapan Jaya
19/3/2022,6:00:00,Rangkapan Jaya
19/3/2022,7:00:00,Cilandak Timur
19/3/2022,8:00:00,Cilandak Timur
19/3/2022,9:00:00,Cilandak Timur
19/3/2022,10:00:00,Cilandak Timur
19/3/2022,11:00:00,Cilandak Timur
19/3/2022,12:00:00,Cilandak Timur
19/3/2022,13:00:00,Cilandak Timur
19/3/2022,14:00:00,Cilandak Timur
19/3/2022,15:00:00,Cilandak Timur
19/3/2022,16:00:00,Ciganjur
19/3/2022,17:00:00,Ciganjur
19/3/2022,18:00:00,Ciganjur
19/3/2022,19:00:00,Ciganjur
19/3/2022,20:00:00,Ciganjur
19/3/2022,21:00:00,Ciganjur
19/3/2022,22:00:00,Ciganjur
19/3/2022,23:00:00,Ciganjur
20/3/2022,0:00:00,Cilandak Timur
20/3/2022,1:00:00,Cilandak Timur
20/3/2022,2:00:00,Cilandak Timur
20/3/2022,3:00:00,Cilandak Timur
20/3/2022,4:00:00,Cilandak Timur
20/3/2022,5:00:00,Cilandak Timur
20/3/2022,6:00:00,Cilandak Timur
20/3/2022,7:00:00,Cilandak Timur
20/3/2022,8:00:00,Cilandak Timur
20/3/2022,9:00:00,Cilandak Timur
20/3/2022,10:00:00,Ragunan
20/3/2022,11:00:00,Ragunan
20/3/2022,12:00:00,Ragunan
20/3/2022,13:00:00,Ragunan
20/3/2022,14:00:00,Ragunan
20/3/2022,15:00:00,Ragunan
20/3/2022,16:00:00,Ragunan
20/3/2022,17:00:00,Ragunan
20/3/2022,18:00:00,Ragunan
20/3/2022,19:00:00,Ragunan
20/3/2022,20:00:00,Cilandak Timur
20/3/2022,21:00:00,Cilandak Timur
20/3/2022,22:00:00,Cilandak Timur
20/3/2022,23:00:00,Cilandak Timur
